Binomial.1.2,Updated_taxonomy_MammalDiversityDatabase,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Mass.g,Mass.Method,Mass.ref,Notes.mass,IUCN.Status.1.2,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.ref,Notes.Diet,Scavenging,Scav.ref,Scav.notes,Locomotion.ambulatory,Locomotion.cursorial,Locomotion.bound,Locomotion.scansorial,Locomotion.ref.,Taxon.Inferred.from.locomotion,Notes.locomotion,Cooperative.hunting,Cooperative.hunt.ref.,Taxon.inferred.from.cooperation,Notes.cooperative,Hunting.terrestrial,Hunting.arboreal,Hunting.fossorial,Hunting.fishing,Hunting.habitat.ref,Taxon.Inferred.from.hunting.habitat,Notes.hunting.habitat,Ambush,Pursuit,Pounce.pursuit,Opportunistic,Taxon.Inferred.from.habitat.method,Notes.hunting.method,Hunting.method.ref.,Bone.consumer,Bone.ref,Hunting.time.nocturl,Hunting.time.crepuscular,Hunting.time.diurl,Hunting.time.ref,Taxon.inferred.timing,Notes.hunting.time,Brain.mass.g,Brain.mass.method,Brain.mass.ref,EQ.SR.,EQ.ICR.,EQ.PGLS.,EQ.method,EQ.ref
Acinonyx_jubatus,,Carnivora,Felidae,Acinonyx,jubatus,46700,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",Original source inaccessible,VU,0,100,0,Reported,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland.",N/A,1,"Broekhuis, Femke, and Onesmus Irungu. ""Role reversal: record of cheetah (Acinonyx jubatus) kleptoparasitizing a kill from a spotted hyaena (Crocuta crocuta)."" African Journal of Ecology 55.1 (2016).",N/A,0,1,0,1,"Pallandre, Jean-Pierre, et al. ""Variation in the sacroiliac joint in Felidae."" PeerJ 9 (2021): e11116.",N/A,N/A,1,"Durant, S., Mitchell, N., Ipavec, A. & Groom, R. 2015. Acinonyx jubatus. The IUCN Red List of Threatened Species 2015: e.T219A50649567. http://dx.doi.org/10.2305/IUCN.UK.2015-4.RLTS.T219A50649567.en.",N/A,N/A,1,1,0,0,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930. ",N/A,Fishing inferred from dietary absence in CarniDiet and MammalDiet,1,1,0,0,N/A,Is described as both an ambush and a pursuit predator in multiple sources - though primarily referred to as a pursuit predator.,"Janis, Christine M., and Borja Figueirido. ""Forelimb atomy and the discrimination of the predatory behaviour of carnivorous mammals: the thylacine as a case study."" Journal of morphology 275.12 (2014): 1321-1338. Van Valkenburgh, Blaire. ""Locomotor diversity within past and present guilds of large predatory mammals."" Paleobiology11.4 (1985): 46-428.",0,N/A,0,0,1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland.",N/A,,115,Reported,"Tsuboi, Masahito, et al. ""Breakdown of brain–body allometry and the encephalization of birds and mammals."" Nature Ecology & Evolution 2.9 (2018): 1492-1500.",0.67,0.13,1.42,Calculated,"Formulas from Boddy et al., 2012"
Arctictis_binturong,,Carnivora,Viverridae,Arctictis,binturong,9875,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",N/A,VU,50,50,0,Reported ,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland.",N/A,0,N/A,No evidence,0,0,0,1,"Van Valkenburgh, B. (1987). Skeletal indicators of locomotor behaviour in living and extinct carnivores. Journal of Vertebrate Paleontology, 7(2), 162-182.",N/A,N/A,0,N/A,N/A,Lack of evidence to support cooperative hunting,1,1,0,1,"Harrison, J. L. 1962. The natural food of some Malayan mammals. Bulletin of the National Museum of Singapore 30: 5-18.",N/A,Fishing behaviour reported by Ogilvie (1958) in Harrison (1962),0,0,0,1,N/A,"Often described as a frugivore, with figs making up large parts of their diet. However, some animals are taken, presumably opportunistically.","Blanford, W. T. (Ed.). (1898). The Fauna of British India: Including Ceylon and Burma.. (Vol. 4). Taylor & Francis.",0,N/A,1,0,0,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland.",N/A,,42,Reported,"Tsuboi, Masahito, et al. ""Breakdown of brain–body allometry and the encephalization of birds and mammals."" Nature Ecology & Evolution 2.9 (2018): 1492-1500.",0.79,0.13,1.33,Calculated,"Formulas from Boddy et al., 2012"
Arctodus_simus,,Carnivora,Ursidae,Arctodus,simus,674750,Median of empirical estimates,See FossilBodySizeSources.csv,,EX,49,51,0,Dental caries; dental microwear; ecomorphology; stable isotopes,"Kurten, B. 1967. Pleistocene bears of North America. 2. Genus Arctodus, short-faced bears. Acta Zoologica Fennica. (2) Emslie, Steven D., and Nicholas J. Czaplewski. 1985. A new record of giant short-faced bear, Arctodus simus, from western North America with a re-evaluation of its paleobiology. Natural History Museum of Los Angeles County. (3) Bocherens, Herve, Steven D Emslie, Daniel Billiou, and André Mariotti. 1995. Stable isotopes (13C, 15N) and paleodiet of the giant short‐faced bear (Arctodus simus). Comptes Rendus de l'Académie des Sciences. Série II 320: 779. (4) Matheus, Paul E. 1995. Diet and co-ecology of Pleistocene short-faced bears and brown bears in eastern Beringia. Quaternary Research 44(3): 447-453. (5) Barnes I, P Matheus, B Shapiro, D Jensen, A Cooper. 2002. Dynamics of Pleistocene Population Extinctions in Beringian Brown Bears. Science 295:2267-2270. (6) Sorkin, B. 2006. Ecomorphology of the giant short-faced bears Agriotherium and Arctodus. Historical Biology 18(1): 1-20. (6) Figueirido, Borja, Juan A. Pérez-Claros, Vanessa Torregrosa, Alberto Martín-Serra, and Paul Palmqvist. 2010. Demythologizing Arctodus simus, the ‘short-faced’ long-legged and predaceous bear that never was. Journal of Vertebrate Paleontology 30(1): 262-275. (7) Donohue, Shelly L., Larisa RG DeSantis, Blaine W. Schubert, and Peter S. Ungar. 2013. Was the giant short-faced bear a hyper-scavenger? A new approach to the dietary study of ursids using dental microwear textures. PLoS One 8, no. 10 (2013): e77531. (8) Figueirido, Borja, Alejandro Pérez-Ramos, Blaine W. Schubert, Francisco Serrano, Aisling B. Farrell, Francisco J. Pastor, Aline A. Neves, and Alejandro Romero. 2017. Dental caries in the fossil record: a window to the evolution of dietary plasticity in an extinct bear. Scientific Reports 7(1): 17813. (9) Mychajliw, Alexis M., Torben C. Rick, Nihan D. Dagtas, Jon M. Erlandson, Brendan J. Culleton, Douglas J. Kennett, Michael Buckley, and Courtney A. Hofman. 2020. Biogeographic problem-solving reveals the Late Pleistocene translocation of a short-faced bear to the California Channel Islands. Scientific reports 10(1): 15172.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unknown,0,N/A,Ursus,N/A,1,0,0,0,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",N/A,Nothing to suggest anything other than terrestrial.,0,0,0,1,N/A,Debated in detail (herbivore/omnivore) but is described as being an adapted scavenger but also that it is flexible depending upon resource availability.,"Figueirido, Borja, et al. ""Demythologizing Arctodus simus, the ‘short-faced’long-legged and predaceous bear that never was."" Journal of Vertebrate Paleontology 30.1 (2010): 262-275. Prevosti, Francisco J., and Sergio F. Vizcaíno. ""Paleoecology of the large carnivore guild from the late Pleistocene of Argenti."" Acta Palaeontologica Polonica 51.3 (2006).",1,"(1) Merriam, J. C. 1912. The fauna of Rancho la Brea; Part 11: Canidae. Mem. Univ. Calif. 1: 215-272. (2) Kurtén, B. & Anderson, E. 1980. Pleistocene mammals of North America. New York: Columbia University Press. (3) Van Valkenburgh, B., and Christopher B. Ruff. 1987. Canine tooth strength and killing behaviour in large carnivores. Journal of Zoology 212(3): 379-397. (4) Van Valkenburgh, Blaire, and Fritz Hertel. 1993. Tough times at La Brea: tooth breakage in large carnivores of the late Pleistocene. Science 261(5120): 456-459. (5) Biknevicius, A.R. & Van Valkenburgh, B. 1996. Design for killing: craniodental adaptations of predators. In Carnivore behavior, ecology, and evolution: 393–428. Gittleman, J.L. (Ed.). Ithaca: Cornell University Press. (6) Binder, Wendy J., Elicia N. Thompson, and Blaire Van Valkenburgh. 2002. Temporal variation in tooth fracture among Rancho La Brea dire wolves. Journal of Vertebrate Paleontology 22(2): 423-428. (7) Therrien, François. Mandibular force profiles of extant carnivorans and implications for the feeding behaviour of extinct predators. 2005. Journal of Zoology 267(3): 249-270. (8) Binder, Wendy J., and Blaire Van Valkenburgh. 2010. A comparison of tooth wear and breakage in Rancho La Brea sabertooth cats and dire wolves across time."" Journal of Vertebrate Paleontology 30(1): 255-261.",N/A,N/A,N/A,N/A,N/A,Extinct,560,Imputed,COMBINE (imputation_phylo_756),0.43,0.11,1.35,Calculated,"Formulas from Boddy et al., 2012"
Arctogalidia_trivirgata,,Carnivora,Viverridae,Arctogalidia,trivirgata,2250,Reported,"Nowak, R. M. 1999. Walker’s Mammals of the World. Volume 1 and 2. John Hopkins University Press, Baltimore, Maryland, USA.",N/A,LC,20,60,20,Reported ,Medway L. (1978). The wild mammals of Malaya (Peninsular Malaysia) and Singapore. Oxford University Press Kuala Lumpur.,N/A,0,N/A,No evidence,0,0,0,1,"Duckworth, J. W., & Nettelbeck, A. R. (2008). Observations of smalltoothed palm civets Arctogalidia trivirgata in Khao Yai National Park, Thailand, with notes on feeding technique. Natural History Bulletin of the Siam Society, 55, 187-192.",N/A,N/A,0,N/A,N/A,Lack of evidence to support cooperative hunting,0,1,0,0,"Duckworth, J. W. & Nettelbeck, A. R. 2008. Observations of Smalltoothed Palm Civets Arctogalidia trivirgata in Khao Yai National Park, Thailand, with notes on feeding technique. Natural History Bulletin of the Siam Society 55: 187–192.",N/A,Fishing inferred from dietary absence,0,0,0,1,N/A,Prefer fruit in captivity but wild stomachs contain lizards and invertebrates,"Harrison, J. L. 1962. The natural food of some Malayan mammals. Bulletin of the National Museum of Singapore 30: 5-18.",0,N/A,1,0,0,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland.",N/A,,23,Reported,"Tsuboi, Masahito, et al. ""Breakdown of brain–body allometry and the encephalization of birds and mammals."" Nature Ecology & Evolution 2.9 (2018): 1492-1500.",1.28,0.17,1.73,Calculated,"Formulas from Boddy et al., 2012"
Atelerix_algirus,,Eulipotyphla,Erinaceidae,Atelerix,algirus,1250,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",N/A,LC,30,50,20,Reported ,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland.",N/A,0,N/A,No evidence,1,0,0,0,"Biknevicius, A. R., Reilly, S. M., McElroy, E. J., & Bennett, M. B. (2013). Symmetrical gaits and center of mass mechanics in small-bodied, primitive mammals. Zoology, 116(1), 67-74.",N/A,N/A,0,N/A,N/A,Lack of evidence to support cooperative hunting,1,0,1,0,"Santana, E. M., Jantz, H. E., & Best, T. L. (2010). Atelerix albiventris (Erinaceomorpha: Erinaceidae). Mammalian Species, 42(857), 99-110.",N/A,Fossorial hunting inferred from genus,0,0,0,1,Genus,Inferred from genus,"Santana, E. M., Jantz, H. E., & Best, T. L. (2010). Atelerix albiventris (Erinaceomorpha: Erinaceidae). Mammalian Species, 42(857), 99-110.",0,N/A,1,0,0,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland.",N/A,,2,Reported,"Tsuboi, Masahito, et al. ""Breakdown of brain–body allometry and the encephalization of birds and mammals."" Nature Ecology & Evolution 2.9 (2018): 1492-1500.",0.17,0.02,0.21,Calculated,"Formulas from Boddy et al., 2012"
Atelocynus_microtis,,Carnivora,Canidae,Atelocynus,microtis,7750,Reported,"Marquet, P. A., and H. Cofre. 1999.  Large temporal and spatial scales in the structure of mammalian assemblages in South America: a macroecological approach. Oikos 85:299–309.",N/A,NT,20,80,0,Reported,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland.",N/A,1,"Lizana, Victor, et al. ""Scavenging behavior of the Short-eared Dog (Atelocynus microtis) in Ecuadorian lowland rainforest."" Studies on Neotropical Fauna and Environment 58.1 (2023): 61-68.",N/A,0,1,0,0,"Kleiman, D. G., and J. F. Eisenberg. ""Comparisons of canid and felid social systems from an evolutionary perspective."" Animal behaviour 21.4 (1973): 637-659.",N/A,N/A,0,"Macdonald, David W. (2006). Encyclopedia of mammals (3rd ed.)",N/A,N/A,1,0,0,0,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930. ",N/A,Fishing inferred from dietary absence in CarniDiet and MammalDiet,0,1,1,0,Speothos,Little to no behavioural study.,N/A,0,N/A,1,0,0,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland.",N/A,,64,Imputed,COMBINE (imputation_phylo_756),1.44,0.23,2.33,Calculated,"Formulas from Boddy et al., 2012"
Atilax_paludinosus,,Carnivora,Herpestidae,Atilax,paludinosus,3300,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403.",Original source inaccessible,LC,0,60,40,Reported ,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland.10",N/A,0,N/A,No evidence,0,1,0,0,"Taylor, M.E., 1976. The functional anatomy of the hindlimb of some African Viverridae (Carnivora). Journal of Morphology, 148(2), pp.227-253.",N/A,N/A,0,"Baker, C. M. (1992). Atilax paludinosus. Mammalian Species, (408), 1-6.",N/A,Lack of evidence to support cooperative hunting,1,0,0,1,"Baker, C. M. (1992). Atilax paludinosus. Mammalian Species, (408), 1-6. Taylor, M.E., 1976. The functional anatomy of the hindlimb of some African Viverridae (Carnivora). Journal of Morphology, 148(2), pp.227-253.",N/A,N/A,0,0,0,1,N/A,"Hunting style dependent of prey species, forages aquatically for crabs etc. but pursuit is employed for rodent prey. Thus opportunist as species has aspects of many hunting methods","Baker, C. M. (1992). Atilax paludinosus. Mammalian Species, (408), 1-6.",0,N/A,1,1,0,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland.",N/A,,30,Reported,"Tsuboi, Masahito, et al. ""Breakdown of brain–body allometry and the encephalization of birds and mammals."" Nature Ecology & Evolution 2.9 (2018): 1492-1500.",1.25,0.18,1.78,Calculated,"Formulas from Boddy et al., 2012"
Bdeogale_jacksoni,,Carnivora,Herpestidae,Bdeogale,jacksoni,2500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403.",Original source inaccessible,NT,0,60,40,Reported ,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland.10",,0,N/A,No evidence,0,1,0,0,"Taylor, M.E., 1976. The functional anatomy of the hindlimb of some African Viverridae (Carnivora). Journal of Morphology, 148(2), pp.227-253.",Genus,N/A,0,N/A,N/A,Lack of evidence to support cooperative hunting,1,0,0,0,"De Luca, D. W., & Rovero, F. (2006). First records in Tanzania of the vulnerable Jackson's mongoose Bdeogale jacksoni (Herpestidae). Oryx, 40(4), 468-471.",N/A,Nothing to suggest anything other than terrestrial.,0,0,0,1,N/A,Inferred from broad diet. Very little research on the species,"De Luca, D. W., & Rovero, F. (2006). First records in Tanzania of the vulnerable Jackson's mongoose Bdeogale jacksoni (Herpestidae). Oryx, 40(4), 468-471.",0,N/A,1,0,0,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland.",N/A,,27,Imputed,COMBINE (imputation_phylo_756),1.42,0.2,1.94,Calculated,"Formulas from Boddy et al., 2012"
Canis_adustus,Lupulella_adustus,Carnivora,Canidae,Canis,adustus,10249.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403.",Original source inaccessible,LC,20,50,30,Reported ,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland.",N/A,1,"Loveridge, A. J., and D. W. Macdonald. ""Niche separation in sympatric jackals (Canis mesomelas and Canis adustus)."" Journal of Zoology 259.2 (2003): 143-153",N/A,0,1,0,0,"Loveridge, A. J., & Macdonald, D. W. (2003). Niche separation in sympatric jackals (Canis mesomelas and Canis adustus). Journal of Zoology, 259(2), 143-153.",N/A,N/A,1,"Loveridge, A. J., & Macdonald, D. W. (2003). Niche separation in sympatric jackals (Canis mesomelas and Canis adustus). Journal of Zoology, 259(2), 143-153.",N/A,N/A,1,0,0,0,"Loveridge, A. J., & Macdonald, D. W. (2003). Niche separation in sympatric jackals (Canis mesomelas and Canis adustus). Journal of Zoology, 259(2), 143-153.",N/A,Nothing to suggest anything other than terrestrial.,0,1,0,1,N/A,Described as an opportunistic hunter that pursues.,"Loveridge, A. J., & Macdonald, D. W. (2003). Niche separation in sympatric jackals (Canis mesomelas and Canis adustus). Journal of Zoology, 259(2), 143-153.",0,N/A,1,0,0,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland.",N/A,,54,Reported,"Tsuboi, Masahito, et al. ""Breakdown of brain–body allometry and the encephalization of birds and mammals."" Nature Ecology & Evolution 2.9 (2018): 1492-1500.",0.98,0.16,1.65,Calculated,"Formulas from Boddy et al., 2012"
Canis_aureus,,Carnivora,Canidae,Canis,aureus,10345.2,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403.",Original source inaccessible,LC,10,80,10,Reported,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland.",N/A,1,"Durant, S. M., et al. ""Mduma, S., Meing'ataki, GEO, Midala, BDVM, Minushi, L., Mpunga, N., Mpuya, PM, Rwiza, M., and Tibyenda, R. The Tanzania Small Carnivore Conservation Action Plan. Durant, S. M., De Luca, D., Davenport, TRB, Mduma, S., Konzo, S., and Lobora, A. Report: 162-269. 2009. Arusha, Tanzania Wildlife Research Institute.""",N/A,0,1,0,0,"Kleiman, D. G., and J. F. Eisenberg. ""Comparisons of canid and felid social systems from an evolutionary perspective."" Animal behaviour 21.4 (1973): 637-659.",N/A,N/A,1,"Bailey, Ida, Julia P. Myatt, and Alan M. Wilson. ""Group hunting within the Carnivora: physiological, cognitive and environmental influences on strategy and cooperation."" Behavioral Ecology and Sociobiology 67.1 (2013): 1-17.",N/A,N/A,1,0,0,1,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930. Middleton, Owen, et al. ""CarniDIET 1.0: A database of terrestrial carnivorous mammal diets."" Global Ecology and Biogeography 30.6 (2021): 1175-1182.",N/A,N/A,0,1,0,0,N/A,N/A,"Dalerum, Fredrik. ""Phylogenetic and functional diversity in large carnivore assemblages."" Proceedings of the Royal Society B: Biological Sciences 280.1760 (2013): 20130049.",0,N/A,1,1,0,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland.",N/A,,75,Reported,"Tsuboi, Masahito, et al. ""Breakdown of brain–body allometry and the encephalization of birds and mammals."" Nature Ecology & Evolution 2.9 (2018): 1492-1500.",1.36,0.22,2.3,Calculated,"Formulas from Boddy et al., 2012"
