family,genus,species,taxonomic.rank,taxon,habitat,feeding.mode,tl,body.shape,fin.shape,AR,offspring.size,spawning.type,age.maturity,fecundity,length.infinity,growth.coefficient,length.max,age.max
Acanthuridae,Acanthurus,bahianus,S,Acanthurus bahianus,reef-associated,herbivorous,2.00,compressiform,truncate,2.43,0.68,non-guarder,2.7,1055628,27,0.38,21,11.5
Acanthuridae,Acanthurus,chirurgus,S,Acanthurus chirurgus,reef-associated,herbivorous,2.09,short and/or deep,truncate,1.87,0.68,non-guarder,2.7,1055628,34,0.36,35,13.0
Acanthuridae,Acanthurus,coeruleus,S,Acanthurus coeruleus,reef-associated,herbivorous,2.00,short and/or deep,truncate,3.49,0.68,non-guarder,2.7,1055628,35,0.23,36,36.0
Acanthuridae,Acanthurus,coeruleus,S,Acanthurus coeruleus,reef-associated,herbivorous,2.00,short and/or deep,truncate,3.49,0.68,non-guarder,2.7,1055628,35,0.23,36,36.0
Achiridae,Achirus,lineatus,S,Achirus lineatus,reef-associated,benthivorous,3.52,flat,rounded,1.21,0.75,non-guarder,1.7,15500,21,1.09,23,7.0
Achiridae,Achirus,lineatus,S,Achirus lineatus,reef-associated,benthivorous,3.52,flat,rounded,1.21,0.75,non-guarder,1.7,15500,21,1.09,23,7.0
Achiridae,Gymnachirus,melas,S,Gymnachirus melas,demersal,generalist,3.52,flat,rounded,1.39,0.75,non-guarder,1.7,15500,21,0.19,22,7.0
Achiridae,Gymnachirus,melas,S,Gymnachirus melas,demersal,generalist,3.52,flat,rounded,1.39,0.75,non-guarder,1.7,15500,21,0.19,22,7.0
Achiridae,Gymnachirus,texae,S,Gymnachirus texae,demersal,generalist,3.52,flat,rounded,1.39,0.75,non-guarder,1.7,15500,21,0.19,14,7.0
Achiridae,Trinectes,inscriptus,S,Trinectes inscriptus,demersal,benthivorous,3.50,flat,rounded,0.87,0.75,non-guarder,1.7,15500,21,0.19,15,7.0
Achiridae,Trinectes,maculatus,S,Trinectes maculatus,demersal,benthivorous,3.41,flat,rounded,0.87,0.75,non-guarder,1.7,15500,21,0.19,20,7.0
Achiridae,Trinectes,maculatus,S,Trinectes maculatus,demersal,benthivorous,3.41,flat,rounded,0.87,0.75,non-guarder,1.7,15500,21,0.19,20,7.0
Achiridae,Trinectes,maculatus,S,Trinectes maculatus,demersal,benthivorous,3.41,flat,rounded,0.87,0.75,non-guarder,1.7,15500,21,0.19,20,7.0
Achiridae,Trinectes,maculatus,S,Trinectes maculatus,demersal,benthivorous,3.41,flat,rounded,0.87,0.75,non-guarder,1.7,15500,21,0.19,20,7.0
Acipenseridae,Acipenser,medirostris,S,Acipenser medirostris,demersal,generalist,3.52,elongated,heterocercal,2.06,3.00,non-guarder,12.8,709389,190,0.09,203,60.0
Acipenseridae,Acipenser,medirostris,S,Acipenser medirostris,demersal,generalist,3.52,elongated,heterocercal,2.06,3.00,non-guarder,12.8,709389,190,0.09,163,60.0
Acipenseridae,Acipenser,medirostris,S,Acipenser medirostris,demersal,generalist,3.52,elongated,heterocercal,2.06,3.00,non-guarder,12.8,709389,190,0.09,163,60.0
